CSO Electoral Divisions 2022,Bed-Sit,Flat/Apartment,House/Bungalow,Total,Registered_ev,Bed-Sit_Percentage,Flat/Apartment_Percentage,House/Bungalow_Percentage,home_charge_percentage,charge_frequency,charging_demand
"Arran Quay A, Dublin City",1,220,476,697,217.0,0.1434720229555237,31.563845050215207,68.29268292682927,0.6048780487804878,0.06717073170731708,4.0
"Arran Quay B, Dublin City",5,1280,420,1705,481.0,0.2932551319648094,75.0733137829912,24.633431085043988,0.47390029325513194,0.08943695014662757,11.0
"Arran Quay C, Dublin City",1,1746,153,1900,516.0,0.05263157894736842,91.89473684210526,8.052631578947368,0.42415789473684207,0.09789315789473686,13.0
"Arran Quay D, Dublin City",0,441,874,1315,408.0,0.0,33.536121673003805,66.4638783269962,0.5993916349809885,0.06810342205323197,7.0
"Arran Quay E, Dublin City",1,440,1206,1647,519.0,0.060716454159077116,26.71523982999393,73.224043715847,0.619672131147541,0.06465573770491803,8.0
"Ashtown A, Dublin City",1,1986,2565,4552,1383.0,0.02196836555360281,43.62917398945518,56.34885764499121,0.5690465729349736,0.07326208260105449,25.0
"Ashtown B, Dublin City",0,150,907,1057,342.0,0.0,14.191106906338694,85.80889309366131,0.6574266792809839,0.058237464522232746,5.0
"Ayrfield, Dublin City",1,597,1529,2127,668.0,0.04701457451810061,28.067700987306065,71.88528443817583,0.6156558533145274,0.06533850493653034,11.0
"Ballinascorney, South Dublin",0,53,227,280,90.0,0.0,18.928571428571427,81.07142857142857,0.6432142857142857,0.06065357142857143,1.0
"Ballyboden, South Dublin",0,106,1691,1797,591.0,0.0,5.898720089037284,94.10127991096272,0.6823038397328881,0.054008347245409025,8.0
"Ballybough A, Dublin City",1,770,901,1672,505.0,0.05980861244019139,46.05263157894737,53.88755980861244,0.5616626794258373,0.07451734449760768,9.0
"Ballybough B, Dublin City",0,1037,638,1675,489.0,0.0,61.910447761194035,38.089552238805965,0.514268656716418,0.08257432835820895,10.0
"Ballygall A, Dublin City",0,426,882,1308,407.0,0.0,32.56880733944954,67.43119266055045,0.6022935779816513,0.06761009174311929,7.0
"Ballygall B, Dublin City",0,88,617,705,229.0,0.0,12.4822695035461,87.51773049645391,0.6625531914893616,0.05736595744680852,3.0
"Ballygall C, Dublin City",0,65,1258,1323,436.0,0.0,4.91307634164777,95.08692365835223,0.6852607709750567,0.05350566893424037,6.0
"Ballygall D, Dublin City",0,65,908,973,320.0,0.0,6.680369989722508,93.31963001027749,0.6799588900308325,0.05440698869475847,4.0
"Ballymun A, Dublin City",0,825,1117,1942,592.0,0.0,42.48197734294541,57.51802265705458,0.5725540679711636,0.0726658084449022,11.0
"Ballymun B, Dublin City",0,373,1113,1486,470.0,0.0,25.10094212651413,74.89905787348586,0.6246971736204575,0.06380148048452222,7.0
"Ballymun C, Dublin City",5,539,1567,2111,666.0,0.23685457129322599,25.532922785409756,74.23022264329701,0.622690667929891,0.06414258645191853,11.0
"Ballymun D, Dublin City",3,258,714,975,307.0,0.3076923076923077,26.461538461538463,73.23076923076923,0.6196923076923077,0.0646523076923077,5.0
"Ballymun E, Dublin City",1,1,597,599,199.0,0.1669449081803005,0.1669449081803005,99.6661101836394,0.6989983305509181,0.051170283806343926,3.0
"Ballymun F, Dublin City",0,13,882,895,297.0,0.0,1.452513966480447,98.54748603351955,0.6956424581005587,0.051740782122905025,4.0
"Beaumont A, Dublin City",2,3,1007,1012,336.0,0.1976284584980237,0.2964426877470355,99.50592885375494,0.6985177865612647,0.051251976284585,4.0
"Beaumont B, Dublin City",0,262,1270,1532,493.0,0.0,17.10182767624021,82.8981723237598,0.6486945169712794,0.0597219321148825,7.0
"Beaumont C, Dublin City",1,245,1081,1327,425.0,0.07535795026375283,18.462697814619442,81.4619442351168,0.6443858327053503,0.06045440844009045,6.0
"Beaumont D, Dublin City",0,1,753,754,251.0,0.0,0.1326259946949602,99.86737400530504,0.699602122015915,0.051067639257294455,3.0
"Beaumont E, Dublin City",1,1,760,762,253.0,0.13123359580052493,0.13123359580052493,99.73753280839895,0.6992125984251969,0.051133858267716534,3.0
"Beaumont F, Dublin City",0,117,1260,1377,451.0,0.0,8.49673202614379,91.50326797385621,0.6745098039215687,0.05533333333333333,6.0
"Bohernabreena, South Dublin",0,53,1686,1739,575.0,0.0,3.0477285796434734,96.95227142035652,0.6908568142610696,0.052554341575618176,8.0
"Botanic A, Dublin City",0,529,826,1355,416.0,0.0,39.040590405904055,60.95940959409594,0.5828782287822878,0.07091070110701109,7.0
"Botanic B, Dublin City",0,464,983,1447,451.0,0.0,32.066344160331724,67.93365583966829,0.6038009675190049,0.06735383552176917,8.0
"Botanic C, Dublin City",1,300,644,945,294.0,0.10582010582010583,31.746031746031743,68.14814814814815,0.6044444444444445,0.06724444444444445,5.0
"Cabra East A, Dublin City",320,907,1357,2584,725.0,12.38390092879257,35.10061919504644,52.51547987616099,0.5575464396284829,0.0752171052631579,14.0
"Cabra East B, Dublin City",2,185,1342,1529,496.0,0.13080444735120994,12.09941137998692,87.76978417266187,0.6633093525179855,0.05723741007194247,7.0
"Cabra East C, Dublin City",95,862,910,1867,542.0,5.088377075522228,46.17032672737012,48.74129619710766,0.546223888591323,0.0771419389394751,10.0
"Cabra West A, Dublin City",0,9,532,541,180.0,0.0,1.6635859519408502,98.33641404805915,0.6950092421441775,0.05184842883548983,2.0
"Cabra West B, Dublin City",0,183,911,1094,352.0,0.0,16.727605118829985,83.27239488117002,0.6498171846435099,0.05953107861060332,5.0
"Cabra West C, Dublin City",0,54,1019,1073,354.0,0.0,5.032618825722274,94.96738117427772,0.6849021435228332,0.053566635601118365,5.0
"Cabra West D, Dublin City",57,204,852,1113,344.0,5.121293800539084,18.328840970350406,76.54986522911051,0.6296495956873315,0.06295956873315366,5.0
"Carna, Dublin City",0,81,991,1072,352.0,0.0,7.555970149253731,92.44402985074626,0.6773320895522388,0.05485354477611941,5.0
"Chapelizod, Dublin City",4,872,613,1489,437.0,0.2686366689053056,58.56279382135662,41.16856950973808,0.5235057085292142,0.0810040295500336,9.0
"Cherry Orchard A, Dublin City",0,358,429,787,238.0,0.0,45.48919949174079,54.510800508259216,0.5635324015247777,0.0741994917407878,4.0
"Cherry Orchard C, Dublin City",1,474,1045,1520,474.0,0.06578947368421052,31.18421052631579,68.75,0.60625,0.06693750000000001,8.0
"Clondalkin Village, South Dublin",1,347,2846,3194,1040.0,0.031308703819661866,10.864120225422667,89.10457107075767,0.667313713212273,0.0565566687539136,15.0
"Clondalkin-Ballymount, South Dublin",0,20,609,629,208.0,0.0,3.1796502384737675,96.82034976152623,0.6904610492845786,0.052621621621621636,3.0
"Clondalkin-Cappaghmore, South Dublin",0,62,694,756,248.0,0.0,8.201058201058201,91.7989417989418,0.6753968253968253,0.0551825396825397,3.0
"Clondalkin-Dunawley, South Dublin",6,485,3317,3808,1234.0,0.15756302521008403,12.736344537815125,87.10609243697479,0.6613182773109243,0.057575892857142874,18.0
"Clondalkin-Monastery, South Dublin",2,849,3081,3932,1252.0,0.050864699898270596,21.59206510681587,78.35707019328586,0.6350712105798576,0.062037894201424214,19.0
"Clondalkin-Moorfield, South Dublin",3,173,2104,2280,747.0,0.13157894736842105,7.587719298245614,92.28070175438596,0.6768421052631578,0.05493684210526318,10.0
"Clondalkin-Rowlagh, South Dublin",1,54,1313,1368,452.0,0.07309941520467836,3.9473684210526314,95.97953216374269,0.6879385964912281,0.05305043859649122,6.0
"Clontarf East A, Dublin City",0,224,1134,1358,437.0,0.0,16.49484536082474,83.50515463917526,0.6505154639175258,0.05941237113402062,6.0
"Clontarf East B, Dublin City",1,627,2104,2732,868.0,0.036603221083455345,22.9502196193265,77.01317715959004,0.6310395314787701,0.06272327964860909,14.0
"Clontarf East C, Dublin City",0,256,937,1193,380.0,0.0,21.45850796311819,78.5414920368818,0.6356244761106454,0.06194383906119028,6.0
"Clontarf East D, Dublin City",0,159,884,1043,337.0,0.0,15.244487056567593,84.75551294343241,0.6542665388302972,0.05877468839884949,5.0
"Clontarf East E, Dublin City",0,66,530,596,194.0,0.0,11.073825503355705,88.9261744966443,0.6667785234899328,0.05664765100671142,3.0
"Clontarf West A, Dublin City",0,178,1265,1443,469.0,0.0,12.335412335412336,87.66458766458767,0.662993762993763,0.05729106029106029,7.0
"Clontarf West B, Dublin City",2,64,955,1021,335.0,0.1958863858961802,6.268364348677767,93.53574926542605,0.680607247796278,0.054296767874632744,5.0
"Clontarf West C, Dublin City",0,864,885,1749,525.0,0.0,49.39965694682676,50.60034305317325,0.5518010291595198,0.07619382504288164,10.0
"Clontarf West D, Dublin City",0,317,779,1096,344.0,0.0,28.923357664233578,71.07664233576642,0.6132299270072993,0.06575091240875913,6.0
"Clontarf West E, Dublin City",0,42,913,955,315.0,0.0,4.397905759162303,95.6020942408377,0.6868062827225131,0.05324293193717278,4.0
"Crumlin A, Dublin City",1,63,1362,1426,470.0,0.07012622720897616,4.417952314165498,95.51192145862552,0.6865357643758765,0.053288920056101,6.0
"Crumlin B, Dublin City",0,68,1147,1215,400.0,0.0,5.596707818930041,94.40329218106996,0.6832098765432099,0.05385432098765433,5.0
"Crumlin C, Dublin City",0,155,788,943,304.0,0.0,16.436903499469775,83.56309650053022,0.6506892895015907,0.05938282078472959,5.0
"Crumlin D, Dublin City",2,186,1473,1661,540.0,0.12040939193257075,11.19807344972908,88.68151715833835,0.666044551475015,0.056772426249247464,8.0
"Crumlin E, Dublin City",0,40,1077,1117,369.0,0.0,3.5810205908683974,96.4189794091316,0.6892569382273946,0.052826320501342915,5.0
"Crumlin F, Dublin City",0,101,1034,1135,371.0,0.0,8.898678414096917,91.10132158590308,0.6733039647577093,0.05553832599118943,5.0
"Decies, Dublin City",0,1,1056,1057,352.0,0.0,0.0946073793755913,99.90539262062441,0.6997161778618732,0.05104824976348155,4.0
"Drumcondra South A, Dublin City",0,944,1295,2239,683.0,0.0,42.1616793211255,57.8383206788745,0.5735149620366236,0.072502456453774,12.0
"Drumcondra South B, Dublin City",0,477,361,838,247.0,0.0,56.921241050119335,43.078758949880665,0.529236276849642,0.08002983293556086,5.0
"Drumcondra South C, Dublin City",0,83,1202,1285,422.0,0.0,6.459143968871596,93.5408560311284,0.6806225680933852,0.05429416342412453,6.0
"Drumfinn, Dublin City",0,97,1274,1371,450.0,0.0,7.075127644055435,92.92487235594457,0.6787746170678336,0.054608315098468294,6.0
"Edenmore, Dublin City",0,100,907,1007,329.0,0.0,9.930486593843098,90.0695134061569,0.6702085402184708,0.056064548162859974,5.0
"Edmondstown, South Dublin",1,61,1854,1916,634.0,0.052192066805845504,3.1837160751565765,96.76409185803759,0.6902922755741129,0.05265031315240081,8.0
"Finglas North A, Dublin City",1,4,1118,1123,373.0,0.08904719501335707,0.3561887800534283,99.55476402493322,0.6986642920747996,0.05122707034728407,5.0
"Finglas North B, Dublin City",0,106,988,1094,357.0,0.0,9.689213893967093,90.31078610603291,0.6709323583180986,0.05594149908592324,5.0
"Finglas North C, Dublin City",0,79,1286,1365,449.0,0.0,5.787545787545787,94.2124542124542,0.6826373626373626,0.053951648351648354,6.0
"Finglas South A, Dublin City",0,48,999,1047,345.0,0.0,4.584527220630372,95.41547277936962,0.6862464183381088,0.0533381088825215,5.0
"Finglas South B, Dublin City",1,534,1046,1581,491.0,0.06325110689437065,33.776091081593925,66.1606578115117,0.598481973434535,0.06825806451612905,8.0
"Finglas South C, Dublin City",0,5,872,877,292.0,0.0,0.5701254275940707,99.42987457240594,0.6982896237172177,0.05129076396807299,4.0
"Finglas South D, Dublin City",0,89,820,909,297.0,0.0,9.79097909790979,90.2090209020902,0.6706270627062705,0.055993399339934025,4.0
"Firhouse Village, South Dublin",0,436,3509,3945,1285.0,0.0,11.051964512040557,88.94803548795944,0.6668441064638784,0.05663650190114068,18.0
"Firhouse-Ballycullen, South Dublin",0,252,3060,3312,1086.0,0.0,7.608695652173914,92.3913043478261,0.6771739130434783,0.05488043478260869,15.0
"Firhouse-Knocklyon, South Dublin",0,18,1268,1286,427.0,0.0,1.3996889580093312,98.60031104199068,0.695800933125972,0.05171384136858476,6.0
"Grace Park, Dublin City",1,337,1993,2331,753.0,0.0429000429000429,14.457314457314457,85.4997854997855,0.6564993564993565,0.05839510939510939,11.0
"Grange A, Dublin City",0,1223,2943,4166,1306.0,0.0,29.356697071531446,70.64330292846856,0.6119299087854057,0.06597191550648104,22.0
"Grange B, Dublin City",2,1221,1469,2692,815.0,0.07429420505200594,45.35661218424963,54.56909361069836,0.563707280832095,0.07416976225854385,15.0
"Grange C, Dublin City",0,19,1106,1125,373.0,0.0,1.6888888888888887,98.31111111111112,0.6949333333333334,0.05186133333333332,5.0
"Grange D, Dublin City",0,50,1416,1466,485.0,0.0,3.4106412005457027,96.58935879945429,0.6897680763983628,0.05273942701227833,6.0
"Grange E, Dublin City",0,69,898,967,317.0,0.0,7.135470527404343,92.86452947259566,0.678593588417787,0.05463908996897621,4.0
"Harmonstown A, Dublin City",0,42,1053,1095,362.0,0.0,3.8356164383561646,96.16438356164385,0.6884931506849316,0.05295616438356164,5.0
"Harmonstown B, Dublin City",0,47,975,1022,337.0,0.0,4.598825831702544,95.40117416829746,0.6862035225048924,0.053345401174168305,4.0
"Inchicore A, Dublin City",7,178,906,1091,350.0,0.6416131989000917,16.315307057745187,83.04307974335472,0.649129239230064,0.05964802933088911,5.0
"Inchicore B, Dublin City",2,325,615,942,292.0,0.21231422505307856,34.50106157112526,65.28662420382165,0.5958598726114648,0.06870382165605099,5.0
"Inns Quay A, Dublin City",1,478,596,1075,326.0,0.09302325581395349,44.46511627906977,55.44186046511628,0.5663255813953488,0.0737246511627907,6.0
"Inns Quay B, Dublin City",2,1123,672,1797,523.0,0.11129660545353368,62.493043962159156,37.39565943238731,0.5121869782971619,0.08292821368948249,11.0
"Inns Quay C, Dublin City",12,808,340,1160,330.0,1.0344827586206897,69.6551724137931,29.310344827586203,0.4879310344827586,0.08705172413793105,7.0
"Kilmainham A, Dublin City",7,308,835,1150,361.0,0.6086956521739131,26.782608695652172,72.60869565217392,0.6178260869565217,0.0649695652173913,6.0
"Kilmainham B, Dublin City",3,808,352,1163,333.0,0.2579535683576956,69.47549441100603,30.266552020636283,0.4907996560619089,0.0865640584694755,7.0
"Kilmainham C, Dublin City",8,1032,1045,2085,624.0,0.38369304556354916,49.49640287769784,50.11990407673861,0.5503597122302157,0.07643884892086333,12.0
"Kilmore A, Dublin City",0,237,964,1201,384.0,0.0,19.733555370524563,80.26644462947544,0.6407993338884264,0.06106411323896752,6.0
"Kilmore B, Dublin City",0,121,810,931,302.0,0.0,12.996777658431794,87.0032223415682,0.6610096670247045,0.057628356605800235,4.0
"Kilmore C, Dublin City",0,23,477,500,165.0,0.0,4.6,95.39999999999999,0.6861999999999999,0.05334600000000002,2.0
"Kilmore D, Dublin City",0,30,769,799,264.0,0.0,3.754693366708386,96.24530663329162,0.6887359198998749,0.052914893617021265,3.0
"Kimmage A, Dublin City",0,5,718,723,240.0,0.0,0.6915629322268326,99.30843706777317,0.6979253112033195,0.0513526970954357,3.0
"Kimmage B, Dublin City",1,40,1405,1446,479.0,0.06915629322268327,2.7662517289073305,97.16459197786999,0.6914937759336099,0.052446058091286316,6.0
